code,title,description,credits,department,level,prereqs
PHIL 4614,Philosophy of Science,"An examination of the structure and methodology of science as well as key concepts such as explanation, confirmation, realism, and instrumentalism. One year of science and 3 philosophy credits required.",3,Philosophy,4000,
PHIL 5004,Graduate Proseminar in Philosophy,"Develop key professional skills (writing, research, effective presenting, critical discussion). Gain familiarity with influential arguments and concepts from classic readings from 20th and 21st century analytic philosophy (including readings from metaphysics, epistemology, philosophy of mind and language, philosophy of science and mathematics, ethics, political philosophy, feminist philosophy, and the philosophy of race). Conduct independent philosophical research using appropriate databases. Learn how to produce abstracts, conference-length papers, and professional documents (e.g., annotated bibliographies, personal statements, curriculum vitae (CV)) in a way that coheres with philosophy’s professional norms. Pre: Graduate standing.",3,Philosophy,5000,
PHIL 5204,Topics in the History of Philosophy,An advanced course focusing on particular topics in the history of philosophy. Special emphasis will be placed on ideas and disputes which were historically influential and continue to be philosophically significant. Consent required.,3,Philosophy,5000,
PHIL 5204G,Intermediate Philosophy of Mind,"Current issues in the philosophy of mind, such as relation of mind and body, status of the mental, knowledge of owns own and other minds, personal identity, consciousness, mentality of animals and machines, topics in the philosophy of psychology. Graduate standing required.",3,Philosophy,5000,
PHIL 5214G,Intermediate Metaphysics,"Examination of central problems of metaphysics. Topics may include: existence, necessary truth, the problem of universals, causation, the identity of the self through time, free will. Attention will be given both to the historical development of these problems and to contemporary philosophical responses to them. Graduate standing required.",3,Philosophy,5000,
PHIL 5224G,Intermediate Epistemology,"Theory of knowledge. Exploration of topics including the foundations (or lack of foundations) of knowledge, the role of experience in knowledge, whether knowledge of the present and the nearby gives us reasons for beliefs about the future, the past, or about events far away, and related issues. Graduate standing required.",3,Philosophy,5000,
PHIL 5306,Main Themes in the Philosophy of Modern Science and Technology,"Problems, literature, and schools in the philosophy of science and technology. 5305: explanation and confirmation; 5306: theory change.",3,Philosophy,5000,
PHIL 5324,Metaethics,"A systematic examination of metaethics, the branch of philosophical ethics that addresses questions about the nature of ethical discourse and its objects. Investigation of such issues as the meaning of ethical terms and judgments, the nature and grounds of ethical truth, the possibility of ethical knowledge, the rationality of ethical behavior, and the relations between ethical and scientific inquiry. Graduate standing required.",3,Philosophy,5000,
PHIL 5505,Symbolic Logic,"Modern deductive symbolic logic and its metatheory. 5505: Development of a system of first order logic. Truth functional sentential logic, monadic predicate calculus with identity. Proof techniques and translation between natural and artificial languages. 5506: Logical metatheory: consistency, completeness, and decidability of logical systems.",3,Philosophy,5000,
PHIL 5904,Project And Report,Only for students pursuing a Master of Arts degree with a non-thesis option. Variable credit course.,1,Philosophy,5000,
PHIL 6014,Special Topics in Philosophy,"Close examination of a discipline, topic, or group of questions from a major philosophical tradition. Such areas as philosophy of language, philosophy of logic, and philosophy of mathematics, and such issues as causation, the nature of space and time, mental representation, logical positivism, and the linguistic turn will be examined. May be repeated for credit, with permission and different content, for a maximum of 12 hours. Completion of at least one of the philosophy M.A. core courses required.",3,Philosophy,6000,
PHIL 6204,Advanced Topics in the History of Philosophy,"Intensive study of a particular figure, school, or group in the history of philosophy, in cultural and theoretical context, such as Socrates in the Athenian polis, Stoicism in the Hellenistic age, or Hume and the Scottish Enlightenment. May be repeated for credit, with permission and different content, for a maximum of 12 hours. Completion of at least one of the philosophy M.A. core courses required.",3,Philosophy,6000,
PHIL 6324,Advanced Topics in Ethics and Political Philosophy,"A seminar closely examining a topic or group of topics in moral, social, or political theory. Such issues as the foundations of ethics, practical reason, the concept of virtue, political obligation, the bounds of moral and political community, paternalism, liberty, and privacy will be explored. Views considered may include moral realism and antirealism, contractarianism, egalitarianism, libertarianism, and communitarianism. May be repeated for credit, with permission and different content, for a maximum of 12 hours.",3,Philosophy,6000,PHIL 5334 or PHIL 5344
PHIL 6334,Advanced Topics in Philosophy of Science,"Variable topics in advanced philosophy of science, including major theories of scientific explanation and their criticisms; philosophical foundations of statistics; naturalized philosophy of science. May be repeated for credit, with permission and different content, for a maximum of 12 hours.",3,Philosophy,6000,
PHS 1004,BSPH Essentials,"Introduction to the Department of Population Health Sciences and the Public Health curricula requirements. Introduces students to experiential learning opportunities, undergraduate research, ethical behaviors and career paths within the discipline. Exploration of programs, services and resources to enhance awareness of opportunities and support systems available for student success including academic advising and career planning. Intended for Public Health majors in their first semesters, either as incoming freshmen, transfer students or change of major students.",1,Population Health Sciences,1000,
PHS 1514,Personal Health,Fundamental health content and theory to provide students with constructive health information necessary to meet current and future personal health needs. Special emphasis on wellness and health promotion.,3,Population Health Sciences,1000,
PHS 2004,Introduction to Public Health,"Examination of how public health core disciplines of epidemiology, health policy and administration, health behavior, and environmental health work together in addressing public health problems. Special emphasis on the history of public health, the public health infrastructure and role of health informatics in public health.",3,Population Health Sciences,2000,
PHS 3014,Introduction to Environmental Health,"Overview of environmental health, examining local, national, and international frameworks. Environmental factors that affect human health, including major classes of chemical, biological, and physical exposures from different environmental media (air, water, food, and soil). Special emphasis on toxicology and epidemiology methodologies used at the individual (mechanistic) level and at the population level to determine environmental causes of disease. Find the most appropriate prevention or control measure to minimize adverse health outcomes.",3,Population Health Sciences,3000,
PHS 3044,Global Health Issues,"Students will get an overview of the determinants of health and how health status is measured. Students will also review the burden of disease, who is most affected by different disease burdens, risk factors, and key measures to address the burden of disease in cost-effective, doable, sustainable, and fair ways. Special attention will be paid throughout the course to health systems issues. The course will cover key concepts and frameworks but be practical in orientation. The course will be global in coverage but will focus on low- and middle-income countries, the health of the poor, and health disparities. The course will pay particular attention to the linkages between health and development. Pre: Junior standing.",3,Population Health Sciences,3000,
PHS 3064,Public Health Seminar,"Current topics in public health research, policy and practice, including biostatistics, epidemiology, health policy, environmental health, social and behavioral medicine, infectious diseases, and public health education. Pass/Fail only.",1,Population Health Sciences,3000,
PHS 3074,Public Health Professional and Practicum Prep,"Preparation for the public health profession and practicum experience. Covers the necessary skills to become a successful public health professional. Students will explore and prepare for public health practicum and career opportunities by assessing interests, creating resume/CV, identifying practicum placement opportunities and future career opportunities and completing necessary placement materials. Communication, ethical considerations, leadership and teamwork, professional skills along with the development of tailored resume/CV, cover letters, interviewing and networking will be covered. P/F only. Pre: Junior Standing.",1,Population Health Sciences,3000,PHS 2004
PHS 3534,Drug Education,"Interpretation of multidimensional (social, psychological and physiological) scientific data regarding drugs. The major drug categories will be covered with special emphasis on substance misuse and abuse.",3,Population Health Sciences,3000,
PHS 3634,Epidemiologic Concepts of Health and Disease,"Designed to give students in the health sciences a basic understanding of the modern concepts regarding health and disease as well as skills in organizing epidemiological data, disease investigation and surveillance. Includes a survey of terms, concepts, and principles pertinent to epidemiology. Lifestyles of populations and the relationships between lifestyles and health status are studied.",3,Population Health Sciences,3000,STAT 2004 or STAT 3005 or STAT 3604 or STAT 3615
PHS 3654,Rural Health,"Exploration of the socioeconomic, behavioral, biological, environmental and other factors that impact human health and contribute to disproportionate health outcomes. Introduction to concepts surrounding rural health, including: (i) defining rurality; (ii) identifying social determinants of health; (iii) reviewing the history of the US public health systems and policies tasked with improving rural health; (iv) describing critical disproportionate health outcomes impacting rural communities (such as cardiovascular disease, cancer, mental health and substance use disorders), and the drivers of these health outcomes; and, (v) (v) assessing health of special populations living in rural communities, such as maternal, newborn, adolescent and child health, aging populations and migrant populations (vi) discussing the assessment, planning, policies, and interventions which can be implemented to improve the health of rural communities at the population level.",3,Population Health Sciences,3000,PHS 2004
PHS 4014,Public Health Program Planning and Evaluation,"Fundamental of public health program development, implementation and evaluation. Basic processes, approaches and interventions that identify and address the major health-related needs and concerns of populations. Pre: Junior Standing",3,Population Health Sciences,4000,PHS 2004 and HNFE 2664
PHS 4044,Public Health Policy and Administration,"Evolution and analysis of public health policy in the United States. Public health and care systems. Administrative concepts central to public health such as human resources, strategic planning, controlling, directing, leadership and health law. Junior Standing.",3,Population Health Sciences,4000,
PHS 4054,Concepts in One Health,"Dynamic interdependence of human, animal and environmental health; theoretical foundations of One Health; One Health research methods for assessing animal-human linkages; One Health operationalization in human medicine, veterinary medicine and public health; policies and practices related to One Health; and capacity building and public engagement; One Health and traditional Medical Model approaches to health problems. Pre: Junior standing.",3,Population Health Sciences,4000,PHS 3014 and PHS 3634
PHS 4064,Modeling Infectious Diseases,"Mathematical modeling of infectious diseases; simple epidemic models, risk structure and modeling risk structure, multi-pathogen models, multi-host models, temporal seasonal models, spatial models, stochastic dynamics and modeling for public health policy. Pre: Junior Standing.",3,Population Health Sciences,4000,MATH 1014 or MATH 1025 or MATH 1225 or MATH 1524
PHS 4074,Practicum in Public Health,"Application of Public health theories, concepts and data in a work setting; comprehensive, structured experience requires student to demonstrate professional competencies and ethical behavior while working closely with a supervisor in a public health practice setting. Pass/Fail Only. Pre: Senior standing.",2,Population Health Sciences,4000,PHS 3074 and PHS 2004 and PHS 3014 and PHS 3634
PHS 4094,Appalachian Community Research,"Undergraduate participatory community research as applied to issues of cultural heritage, sustainability, and identity. Students engage in projects defined by community groups and organizations as being critical to their well-being, continuity, or growth. Emphasis is on developing concepts of civic professionalism and developmental democracy.",3,Population Health Sciences,4000,
PHS 4174,Capstone in Public Health,"The capstone in Public Health course is designed for Public Health students to integrate and synthesize knowledge gained for the undergraduate BSPH core curriculum. Students will apply the knowledge gained from the core BSPH courses to analyze, explain and address public health problems. Class deliverables will focus on public health case studies and the 10 Essential Public Health services (EPHS). This course serves as the BSPH program culmination course. Pre: Senior Standing.",2,Population Health Sciences,4000,PHS 2004 and PHS 3014 and PHS 3634 and PHS 3074
PHS 5004,Foundations of Public Health,"Foundational principles of public health, including history, core functions and essential services. Public health ethics and values. Career opportunities in the public health core disciplines. Biologic determinants of health. Global and One Health frameworks for health and health professionals. Pre: Graduate standing.",1,Population Health Sciences,5000,
PHS 5014,Decision-Making and Policy in Environmental Health,"Exploration of scientific tools to measure environmental hazards to human and/or animal health and the policy tools and individual behaviors used to manage them. Students will learn (1) fundamentals of the disciplines that combine to generate knowledge in environmental health (toxicology, epidemiology, environmental modeling, and exposure assessment); (2) the legal, political, moral, and cultural drivers and constraints on this decision-making; and (3) the analytic tools used to structure government, corporate, and individual decisions under uncertainty (life-cycle assessment, cost-benefit analysis, risk assessment). Students will develop fluency in these areas by way of individual and group assignments, a policy memo, oral presentations, and student-led discussions that probe real-world case studies of disagreements, dilemmas, and controversies in environmental health. Pre: Graduate standing.",3,Population Health Sciences,5000,
PHS 5024,Epidemiology and Quantitative Methods in Public Health Lab,"Statistical skills needed to conduct epidemiologic and public health research including descriptive statistics, bivariate statistics, and regression. Reading and writing code. Manipulate, analyze, and visualize public health data using statistical software. Probability, confidence intervals, and significance. Statistical power. Pre: Graduate standing.",1,Population Health Sciences,5000,
PHS 5025,Epidemiology and Quantitative Methods in Public Health,"5025: Investigation and analysis of dynamics and determinants of disease in communities and populations. Philosophy, assessment, and application of public health science, ethics, study design, data analysis, and epidemiologic measures. 5026: Basic ideas, methods, and measures of epidemiology. Statistical knowledge and skills to analyze and interpret data from epidemiologic studies. Introduction to common statistical packages. Evaluation of scientific evidence from literature. Identify and minimize major potential sources of error in epidemiologic studies. Pre: Graduate standing for 5025.",3,Population Health Sciences,5000,
PHS 5026,Epidemiology and Quantitative Methods in Public Health,"5025: Investigation and analysis of dynamics and determinants of disease in communities and populations. Philosophy, assessment, and application of public health science, ethics, study design, data analysis, and epidemiologic measures. 5026: Basic ideas, methods, and measures of epidemiology. Statistical knowledge and skills to analyze and interpret data from epidemiologic studies. Introduction to common statistical packages. Evaluation of scientific evidence from literature. Identify and minimize major potential sources of error in epidemiologic studies. Pre: Graduate standing for 5025.",3,Population Health Sciences,5000,PHS 5025
PHS 5034,Health Behavior and Health Education,"This course has two main purposes: (1) to familiarize students with historical, theoretical and methodological aspects of health psychology, and (2) to acquaint health education students with the social, psychological, and cultural determinants of health behaviors which form the underpinnings of health education practice.",3,Population Health Sciences,5000,
PHS 5044,Public Health Policy and Administration,"Multiple dimensions of the health policy-making process including the roles of ethics and evidence. Analyzing health polices for their impact on public health and health equity. Examining the structure and function of health care models nationally and globally. Constitutional basis for public health. Applying principles of planning, organizing, directing, staffing, and budgeting to public health agencies. Pre: Graduate standing.",3,Population Health Sciences,5000,
PHS 5054,Public Health Leadership and Interprofessionalism,"Fundamentals of public health leadership and management using a systems-thinking lens. Decision-making, change management, shared vision, and communication. Strategic planning and public health ethics. Negotiation role-playing. Models of team effectiveness. Team building applied to working on public health and interprofessional teams. Collaborative leadership, personal leadership styles, and self-reflection. Diversity and cultural competency in the public health setting as a leader. Pre: Graduate standing.",2,Population Health Sciences,5000,
PHS 5064,Public Health Program Development and Evaluation,"Development and evaluation of public health education and infectious disease programs. Health equity, systems thinking, and cultural responsiveness throughout the program development and evaluation cycle. Assessment of community health needs. Engagement of diverse stakeholders. Effective public health program design. Development of evaluation plans to assess processes, outcomes, and impacts. Relationship between program development, ongoing evaluation, and improvement. Communication of evaluation findings to stakeholders. Pre: Graduate standing.",3,Population Health Sciences,5000,
PHS 5074,Rural Environmental Health,"In this course, students will gain knowledge on how chemical and physical (and some biological) hazards commonly encountered in rural occupational and residential environments affect human health. Students will learn how scientific analyses are designed to 1) assess the toxicity or potency (dose-response) of those hazards using toxicology and epidemiology approaches and 2) estimate exposure to hazards via built/natural environment pathways (e.g. air, water, soil, and food) and 3) estimate health risk from specific exposure scenarios. Students will learn how information is integrated into population-level risk assessments and how scientists, governments, impacted people and relevant non-governmental organizations design effective interventions to manage risk, and develop evaluation plans to assess effectiveness, using tools such as global burden of disease metrics, health impact assessment, and life cycle analysis tools. Students will learn to describe and communicate findings to various interested parties using message maps. Pre: Graduate standing.",3,Population Health Sciences,5000,
PHS 5204,Principles of Community Health Education,Public health issues and concepts are analyzed and evaluated in relationship to existing principles of health education.,3,Population Health Sciences,5000,
PHS 5224,Comp Health Systems,"Comprehensive examination of the structure and function of worldwide healthcare and public health systems. National health services with central funding, social insurance programs, decentralized systems, and private insurance systems. Pre-requisite: Graduate Standing required.",3,Population Health Sciences,5000,
PHS 5234,Methods of Community Health Engagement,"This course is designed to present core concepts, models, methods, strategies and challenges in the process of working with communities to improve community-identified population health needs. This course presents an overview of models for community organizing and community capacity building and provides students the opportunity to apply classroom concepts “in the field” through working with community partners and the development and presentation of a group Needs Assessment in collaboration with the community partner. Pre: Graduate standing.",3,Population Health Sciences,5000,
PHS 5244,Sexual Health and Human Rights,"Sexual and reproductive health from human development, public health, and critical feminist perspectives, with special attention to human rights issues. Sexually transmitted infections; HIV/AIDS; unintended pregnancy; population policies; eugenics; sexual and reproductive rights; positive sexuality, sex education; and health promotion. Pre: Graduate standing.",3,Population Health Sciences,5000,
PHS 5254,Social Epidemiology,Analyze social determinants of health through the life-course in relationship to public health. Interplay of social factors that influence health domestically and globally. Application of social epidemiology to a range of health outcomes. Informing effective community-engaged solutions and policies to address health issues. Pre: Graduate standing.,3,Population Health Sciences,5000,
PHS 5314,Infectious Disease Epidemiology,"Dynamics and determinants of infectious diseases and their assessment on the molecular to population continuum in a systems based approach. Infectious disease transmission mechanisms; population susceptibilities; environmental, social, cultural and economic contributors to infectious disease propagation; detection and surveillance; geographic information systems; epidemiologic study design; and infectious disease modeling. Prerequisite: Graduate Standing required",3,Population Health Sciences,5000,
PHS 5324,Pub Hlth Infect Contrl & Prev,"Assessment, policies, and procedures for control and prevention of infectious diseases in communities and populations. Sources, transmission mode, and local community to international dissemination of infectious disease agents; antimicrobial and chemical resistance; vaccine development, safety, and coverage; community and hospital based needs and interventions; and regulatory frameworks. Pre: Graduate Standing required.",3,Population Health Sciences,5000,
PHS 5334,Principles of Infectious Diseases,"Principles of infectious diseases important for local, national, and global public health. Bacterial, viral, fungal, and parasitic pathogens; mechanisms of disease; host immune response to pathogens. Pre: Graduate standing.",3,Population Health Sciences,5000,
PHS 5344,Neglected and Emerging Infectious Diseases in Public Health,"Neglected infectious diseases and their association with marginalized populations and factors including poverty, social and health inequities, water, sanitation and hygiene, and urbanization. Critical factors for emergence/re-emergence of infectious diseases in populations and regions, including geopolitical challenges, zoonotic and vector impacts. Evaluate studies and global responses to neglected and emerging infectious diseases to inform the development of One Health interventions. Pre: Graduate standing.",3,Population Health Sciences,5000,
PHS 5454,Beyond Private Practice: Veterinary Careers and Pathways,"Exploration of veterinary career opportunities in federal and state governments; zoological, wildlife, aquatic, and conservation medicine; animal-related industries; academia and research; and emerging opportunities. Focus on pathways and processes used to determine career choice. Emphasizes development of resumes, interviewing and negotiating for public and corporate careers. Pass\Fail only.",1,Population Health Sciences,5000,
PHS 5464,Veterinarians and Public Policy,"Formulation and implementation of veterinary public policy at the international, national, state, professional association, and consumer level. Discussion of the formulation of legislation, regulation, guidance and resolutions. Roles of science, law, politics, economics, societal values, and stakeholder influence in forging veterinary public policy. Moral and ethical dimensions of veterinary public policy making. Focus on the formulation, role and impacts of public policy relative to the practice of private and public veterinary medicine. Pre: Graduate standing. Pass\Fail only.",2,Population Health Sciences,5000,
PHS 5474,Developing the Public Veterinary Practitioner,"Principles of outbreak investigation, descriptive epidemiology, and disaster management in the control of infectious animal disease outbreaks; risk analysis; literature review methods; design of disease surveillance, prevention and control programs; principles of animal welfare; and global veterinary capacity building. Topics discussed within the context of state and federal government agencies, corporate/industry, and clinical institutions. Emphasis on communication, teamwork and leadership skills. Pass/Fail only.",2,Population Health Sciences,5000,
PHS 5484,Topics in Veterinary Public Health,"Contributions of veterinary science to human health and well-being. Water quality and animal agriculture; antimicrobial use in animal populations and the impact on human health; environmental aspects of emerging and zoonotic infectious diseases; zoonoses of global importance; prioritization methods for infectious diseases; food safety, security and defense; socioeconomic impacts of animal disease; Human-Animal interaction/Human-Animal bond. Pass/Fail only. Pre: Graduate standing.",2,Population Health Sciences,5000,
PHS 5494,Problem Solving in Public and Corporate Veterinary Practice,"Public veterinary practice skills for veterinarians working in public and corporate practice. Communication with the media and stakeholders, methods for group decision-making, and frameworks for problem solving, including SWOT (Strengths, Weaknesses, Opportunities and Threats) Analysis, Risk Analysis, and the PESTLE framework. Government infrastructure and regulations related to infectious disease management in animal populations, emergency management, public health and animal welfare. Pass/Fail only.",2,Population Health Sciences,5000,
PHS 5704,Drinking Water & Health,"Drinking water contamination and associated health outcomes. Programs to improve safe water access. Viral, bacterial, protozoal, and helminthic pathogens. Heavy metals, pesticides, and other contaminants. Drinking water treatment and supply in rural areas. Study designs for health outcome assessment. Field-based intervention trials. Pre: Graduate standing.",3,Population Health Sciences,5000,
PHS 5714,Health of the Elderly,"The health needs and problems of the elderly, the implications for those working with the elderly, and possible health care delivery systems.",3,Population Health Sciences,5000,
PHS 5724,Ethical Foundations of Public Health,"Methods for ethics decision-making in public health and health policy, exploration of theoretical foundations of ethical public health practice, methods for identifying ethical challenges and ethical dilemmas, skills for managing ethical ambiguity, differences and similarities between professional ethics, research ethics, clinical ethics, and public health ethics, key historical events in public health that led to ethical and policy requirements, decision-making frameworks to analyze public health ethical challenges, current writings in public health ethics literature, well-reasoned written and oral arguments for a course of action to address public health ethics dilemmas. Pre: Graduate standing.",3,Population Health Sciences,5000,
PHS 5924,Capstone in Public Health,"Synthesis of coursework and practicum experience into a final comprehensive product which integrates knowledge and skills acquired in all core classes, specific MPH concentration courses and practicum experience for developing, implementing and evaluating a public health program; tests students ability to effectively analyze a public health problem and develop an intervention toward a solution to the problem. Pre-requisite: Graduate standing; completion of 39 hours of MPH coursework including enrollment in or completion of public health practicum.",3,Population Health Sciences,5000,
PHS 5934,Public Health Integrative Learning Experience,Culminating experience required for the MPH degree. Integration of program foundational and concentration-specific competencies. Team-based public health educational and professional experience. Addressing a public health challenge. Working with a mentor from an external stakeholder organization. Producing individual high-quality written deliverable. Reflection on the learning experience. Team presentation of project. Pre: Graduate standing.,3,Population Health Sciences,5000,
PHS 5935,Preparation for Public Health Practice,"Preparation for the public health profession. Covers the necessary skills to become a successful public health professional. 5935: Exploration of Public Health Practice Experience (PHPE) placement opportunities. PHPE goals, objectives, and competencies. PHPE products that align with academic and professional goals. PHPE learning contract. Institutional review board (IRB) protocols. Communications and professionalism skills. Academic poster and e-portfolio design. Work/life balance strategies. 5936: Examination of professional preparation for careers in public health. Job search strategies, resume/CV and cover letter writing, interviewing, and networking. Workplace skills, including professional communication, group process, leadership/supervision skills, working with the media, and survey design and data presentation. Personal/professional growth strategies, including salary and benefits negotiation, debt management, and time management. Grant writing. Pre: Graduate standing; 5935 for 5936. Pass/Fail only.",1,Population Health Sciences,5000,
PHS 5936,Preparation for Public Health Practice,"Preparation for the public health profession. Covers the necessary skills to become a successful public health professional. 5935: Exploration of Public Health Practice Experience (PHPE) placement opportunities. PHPE goals, objectives, and competencies. PHPE products that align with academic and professional goals. PHPE learning contract. Institutional review board (IRB) protocols. Communications and professionalism skills. Academic poster and e-portfolio design. Work/life balance strategies. 5936: Examination of professional preparation for careers in public health. Job search strategies, resume/CV and cover letter writing, interviewing, and networking. Workplace skills, including professional communication, group process, leadership/supervision skills, working with the media, and survey design and data presentation. Personal/professional growth strategies, including salary and benefits negotiation, debt management, and time management. Grant writing. Pre: Graduate standing; 5935 for 5936. Pass/Fail only.",1,Population Health Sciences,5000,PHS 5935
PHS 5944,Veterinary Public Practice Experience - Practicum,"This course provides a planned, individualized, mentored, and evaluated experiential learning opportunity that promotes an understanding of the breadth of veterinary medicine and an appreciation for the roles of veterinarians in career areas other than private clinical practice. Students will identify an area of interest in veterinary public practice, including emerging fields in veterinary medicine, and engage in a supervised project that will allow them to gain experience and hone their skills in that area, as well as their ability to work in teams, and to generate a project deliverable and an ePortfolio. Pre: The five 8000-level prerequisite courses are professional degree (Veterinary) program courses that will be cross-listed at the 5000 level for the Graduate Certificate as follows: VM 8664 ( PHS 5454 ); VM 8364 ( PHS 5464 ); VM 8504 ( PHS 5474 ); VM 8464 ( PHS 5484 ); VM 8224 ( PHS 5494 ).",3,Population Health Sciences,5000,( VM 8664 or PHS 5454 ) and ( VM 8464 or PHS 5484 ) and ( VM 8364 or PHS 5464 ) and ( VM 8224 or PHS 5494 ) and ( VM 8504 or PHS 5474 )
PHYS 1055,Introduction to Astronomy,"Survey course of astronomy topics ranging from the solar system to the universe, with Application of evidence-based reasoning, critical thinking, and use of theoretical models and observations. 1055 has a focus on the solar system: apparent sky motions, telescopes, matter and radiation, properties of the planets, structure and evolution of the solar system, cultural and intercultural aspects that influenced the understanding of the solar system, climate change as a Global challenge. 1056 has a focus on the universe: stars, star formation, stellar evolution, organization of the Milky Way Galaxy, galaxies, quasars, structure and evolution of the universe, cosmological models, cultural and intercultural aspects of the development of astronomical thought, life in the universe.",3,Physics,1000,
PHYS 1056,Introduction to Astronomy,"Survey course of astronomy topics ranging from the solar system to the universe, with Application of evidence-based reasoning, critical thinking, and use of theoretical models and observations. 1055 has a focus on the solar system: apparent sky motions, telescopes, matter and radiation, properties of the planets, structure and evolution of the solar system, cultural and intercultural aspects that influenced the understanding of the solar system, climate change as a Global challenge. 1056 has a focus on the universe: stars, star formation, stellar evolution, organization of the Milky Way Galaxy, galaxies, quasars, structure and evolution of the universe, cosmological models, cultural and intercultural aspects of the development of astronomical thought, life in the universe.",3,Physics,1000,
PHYS 1155,Astronomy Laboratory,"Simulation of apparent sky motions; observations of planets, stars, and nebulae with quantitative analysis; long term observations of sky changes; analysis of images; laboratory experiments of astrophysical relevance.",1,Physics,1000,
PHYS 1156,Astronomy Laboratory,"Simulation of apparent sky motions; observations of planets, stars, and nebulae with quantitative analysis; long term observations of sky changes; analysis of images; laboratory experiments of astrophysical relevance.",1,Physics,1000,PHYS 1155
PHYS 2074,Highlights of Contemporary Physics,"Conceptual overview of modern scientific thinking in physics, with application of critical reasoning and quantitative and conceptual problem solving based on fundamental physics principles. Presentation of the key ideas and philosophical aspects of the most important developments in modern physics, such as quantum mechanics, relativity, particle physics, cosmology. Discussion of their impact on our understanding of the universe, our position in it, intercultural aspects, and the relevance of physics for technical challenges requiring global awareness.",3,Physics,2000,
PHYS 2205,General Physics,"General physics course sequence for students in curricula other than physical sciences, mathematics, or engineering, who have not studied calculus. Applications of reasoning in the natural sciences using physical laws in a real-world context and in the students own discipline. Overview of intercultural and universal aspects of physics, and of human benefits of physics to address global challenges. 2205: mechanics, wave phenomena, fluids. 2206: optics, thermodynamics, electromagnetism, relativity, topics in nuclear and modern physics.",3,Physics,2000,MATH 1025 or MATH 1026 or MATH 1225 or MATH 1524
PHYS 2206,General Physics,"General physics course sequence for students in curricula other than physical sciences, mathematics, or engineering, who have not studied calculus. Applications of reasoning in the natural sciences using physical laws in a real-world context and in the students own discipline. Overview of intercultural and universal aspects of physics, and of human benefits of physics to address global challenges. 2205: mechanics, wave phenomena, fluids. 2206: optics, thermodynamics, electromagnetism, relativity, topics in nuclear and modern physics.",3,Physics,2000,( PHYS 2305 or PHYS 2205 ) and ( MATH 1025 or MATH 1026 or MATH 1225 or MATH 1524 )
PHYS 2215,General Physics Laboratory,"Laboratory experiments dealing with basic laws and techniques of physics; designed to illustrate topics covered in PHYS 2205 -2206. Applications of reasoning in the natural sciences using physics experiments in a real-world and interdisciplinary context. Ethical responsibilities and issues in a laboratory setting. 2215: analysis of experimental errors, formatting for presenting graphical data, analyzing and describing and prioritizing experimental design features, communicating concepts orally and in writing, concepts of force, momentum, conservation of energy, wave and interference phenomena. 2216: analysis of experimental errors, communicating concepts orally and in writing, concepts of geometrical optics, optical instruments, heat and phase transitions, electricity and electrical energy storage, magnetic fields and magnetic induction, atomic spectra.",1,Physics,2000,
PHYS 2216,General Physics Laboratory,"Laboratory experiments dealing with basic laws and techniques of physics; designed to illustrate topics covered in PHYS 2205 -2206. Applications of reasoning in the natural sciences using physics experiments in a real-world and interdisciplinary context. Ethical responsibilities and issues in a laboratory setting. 2215: analysis of experimental errors, formatting for presenting graphical data, analyzing and describing and prioritizing experimental design features, communicating concepts orally and in writing, concepts of force, momentum, conservation of energy, wave and interference phenomena. 2216: analysis of experimental errors, communicating concepts orally and in writing, concepts of geometrical optics, optical instruments, heat and phase transitions, electricity and electrical energy storage, magnetic fields and magnetic induction, atomic spectra.",1,Physics,2000,PHYS 2215 or PHYS 2305
PHYS 2254,Hello Quantum World!,"Introduction to the concepts of quantum mechanics and quantum computing using a pictorial approach. Quantum bits, quantum superposition, quantum gate operations, quantum entanglement, and quantum measurements represented pictorially. Demonstration of quantum circuits and quantum algorithms. Use of cloud quantum processors with drag-and-drop interfaces. Quantum teleportation, no-cloning theorem, quantum key distribution. Use of the pictorial formalism to define the concept of vectors.",3,Physics,2000,
PHYS 2305,Foundations of Physics,"Introductory sequence for students in physical sciences, mathematics, and engineering. Overview of intercultural contributions to physics and universal aspects of physics, and of human benefits of physics to address world-wide challenges. 2305: classical mechanics of translational and rotational motion, Newtonian gravitation, and thermal physics. 2306: oscillations, waves, electricity, magnetism, and optics.",4,Physics,2000,MATH 1225
PHYS 2306,Foundations of Physics,"Introductory sequence for students in physical sciences, mathematics, and engineering. Overview of intercultural contributions to physics and universal aspects of physics, and of human benefits of physics to address world-wide challenges. 2305: classical mechanics of translational and rotational motion, Newtonian gravitation, and thermal physics. 2306: oscillations, waves, electricity, magnetism, and optics.",4,Physics,2000,MATH 1226 and PHYS 2305
PHYS 2324,Thermal Physics Module,"Introduction to thermal physics; solids, liquids, and gases; moles, temperature, ideal gas law; work, heat, first law of thermodynamics, ideal gas processes; molecular speeds, pressure; heat engines, refrigerators, the second law of thermodynamics. Intended for transfer students whose introductory physics courses did not include thermal physics. Pass/Fail only.",1,Physics,2000,
PHYS 2325,Seminar for Physics Majors,"Introduction to the field of physics and to the Physics Department. Overview of modern physics topics such as special relativity, quantum mechanics, condensed matter, nuclear, and particle physics. Presentation of research activities in the department. Also provides more in-depth discussion of and math preparation for topics in 2305-2306. For physics majors.",1,Physics,2000,
