major,college,catalog_year,requirement_group,course_code,course_title,credits,notes
Accounting & Business Analysis Major,Pamplin College of Business,2026-2027,Major Requirements,ACIS 4414,Financial Statement Auditing,3,
Accounting & Business Analysis Major,Pamplin College of Business,2026-2027,Major Requirements,ACIS 4444,Forensic Accounting,3,
Accounting & Business Analysis Major,Pamplin College of Business,2026-2027,Major Requirements,ACIS 4454,Artificial Intelligence in Accounting and Auditing,3,
Accounting & Business Analysis Major,Pamplin College of Business,2026-2027,Major Requirements,ACIS 4544,Applied Accounting Analytics,3,
Accounting & Business Analysis Major,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,ENGL 1105,First-Year Writing (1F),3,
Accounting & Business Analysis Major,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,ENGL 1106,First-Year Writing (1F),3,
Accounting & Business Analysis Major,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2005,Principles of Economics 1,3,
Accounting & Business Analysis Major,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2006,Principles of Economics 1,3,
Accounting & Business Analysis Major,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,BIT 2406,"Introduction to Business Statistics, Analytics, and Modeling (5A) 1",3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Degree Core Requirements,ACIS 2115,Principles of Accounting 1,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Degree Core Requirements,ACIS 2116,Principles of Accounting 1,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Degree Core Requirements,ACIS 3115,Intermediate Financial Accounting 1,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Degree Core Requirements,ACIS 3504,Accounting Systems and Controls 1,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Degree Core Requirements,ACIS 4214,Cost Planning and Control 1,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Degree Core Requirements,ACIS 4654,Accounting Analytics 1,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3054,Legal and Ethical Environment of Business,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,College Requirements,BUS 1004,Foundations of Business Problem-Solving,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,College Requirements,BUS 1204,AI Literacy for Business,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,College Requirements,BUS 2004,Intermediate Applications of Business Problem-Solving,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,College Requirements,BUS 3004,Advanced Applications of Business Problem-Solving,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,College Requirements,BUS 3900,Bridge Experience,0,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,College Requirements,BUS 4004,Capstone in Business Problem-Solving,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,College Requirements,FIN 3104,Introduction to Finance 1,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,College Requirements,MGT 3404,Principles of Management 1,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,College Requirements,MKTG 3104,Marketing Management 1,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Major Requirements,ACIS 1104,Careers in Accounting and Information Systems,1,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Major Requirements,ACIS 1504,Introduction to Business Analytics and Business Intelligence,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Major Requirements,ACIS 2504,Introduction to Accounting Analytics,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Major Requirements,ACIS 3714,Volunteer Income Tax Assistance Experience,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Major Requirements,ACIS 4444,Forensic Accounting,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Major Requirements,ACIS 4544,Applied Accounting Analytics,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,ENGL 1105,First-Year Writing (1F),3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,ENGL 1106,First-Year Writing (1F),3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2005,Principles of Economics 1,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2006,Principles of Economics 1,3,
Accounting and Information Systems Major,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,BIT 2406,"Introduction to Business Statistics, Analytics, and Modeling (5A) 1",3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 2405,"Introduction to Business Statistics, Analytics, and Modeling #",3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 3414,Operations and Supply Chain Management #,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 3434,Advanced Modeling for Business Analytics #,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 3444,Advanced Business Computing and Applications #,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 3524,Database Management and Design #,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 4474,Global Operations and Information Technology #,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 4484,Project Management #,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,College Requirements,ACIS 2115,Principles of Accounting 1,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,College Requirements,ACIS 2116,Principles of Accounting 1,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,College Requirements,BUS 1004,Foundations of Business Problem-Solving,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,College Requirements,BUS 1204,AI Literacy for Business,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,College Requirements,BUS 2004,Intermediate Applications of Business Problem-Solving,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3004,Advanced Applications of Business Problem-Solving,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3754,Internship in Business,1,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3900,Bridge Experience,0,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,College Requirements,BUS 4004,Capstone in Business Problem-Solving,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,College Requirements,FIN 3104,Introduction to Finance 1,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,College Requirements,MGT 3404,Principles of Management 1,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,College Requirements,MKTG 3104,Marketing Management 1,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Major Requirements,BIT 2104,Careers in Business Information Technology,1,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Major Requirements,BIT 3424,Introduction to Business Analytics Modeling #,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Major Requirements,BIT 4604,"Data Governance, Privacy and Ethics #",3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Major Requirements,CS 1064,Introduction to Programming in Python #,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Option Required Courses,BIT 3474,Data Management and Business Analytics in Python #,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Option Required Courses,BIT 3514,Systems Analysis #,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Option Required Courses,BIT 3554,"Networks, Telecommunications and Security #",3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Option Required Courses,BIT 4444,Web-Based Decision Support Systems #,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Option Required Courses,BIT 4454,Business Analysis Seminar in IT #,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,COMM 1015,Communication Skills (1F),3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,COMM 1016,Communication Skills (1F),3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2005,Principles of Economics 1,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2006,Principles of Economics 1,3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1025,Elementary Calculus (5F),3,
Business Information Technology Major with Computer Based Decision Support Systems Option,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,BIT 2406,"Introduction to Business Statistics, Analytics, and Modeling (5A) 1",3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 2405,"Introduction to Business Statistics, Analytics, and Modeling #",3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 3414,Operations and Supply Chain Management #,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 3434,Advanced Modeling for Business Analytics #,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 3444,Advanced Business Computing and Applications #,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 3524,Database Management and Design #,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 4474,Global Operations and Information Technology #,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 4484,Project Management #,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,College Requirements,ACIS 2115,Principles of Accounting 1,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,College Requirements,ACIS 2116,Principles of Accounting 1,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,College Requirements,BUS 1004,Foundations of Business Problem-Solving,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,College Requirements,BUS 1204,AI Literacy for Business,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,College Requirements,BUS 2004,Intermediate Applications of Business Problem-Solving,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,College Requirements,BUS 3004,Advanced Applications of Business Problem-Solving,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,College Requirements,BUS 3754,Internship in Business,1,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,College Requirements,BUS 3900,Bridge Experience,0,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,College Requirements,BUS 4004,Capstone in Business Problem-Solving,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,College Requirements,FIN 3104,Introduction to Finance 1,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,College Requirements,MGT 3404,Principles of Management 1,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,College Requirements,MKTG 3104,Marketing Management 1,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,BIT 2104,Careers in Business Information Technology,1,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,BIT 2554,"Linux, Shell Scripting, and Securing OS for Business #",3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,BIT 3474,Data Management and Business Analytics in Python #,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,BIT 3484,Advanced Business Analytics in Python and R #,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,BIT 3554,"Networks, Telecommunications and Security #",3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,BIT 3664,Cybersecurity Management I #,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,BIT 3674,Cybersecurity Management II #,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,BIT 4604,"Data Governance, Privacy and Ethics #",3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,BIT 4644,Digital Forensics and Incident Response Management #,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,BIT 4654,Penetration Testing and Ethical Hacking for Business #,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,CS 1064,Introduction to Programming in Python #,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,COMM 1015,Communication Skills (1F),3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,COMM 1016,Communication Skills (1F),3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2005,Principles of Economics 1,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2006,Principles of Economics 1,3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1025,Elementary Calculus (5F),3,
Cybersecurity Management and Analytics Major,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,BIT 2406,"Introduction to Business Statistics, Analytics, and Modeling (5A) 1",3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 2405,"Introduction to Business Statistics, Analytics, and Modeling #",3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 3414,Operations and Supply Chain Management #,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 3434,Advanced Modeling for Business Analytics #,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 3444,Advanced Business Computing and Applications #,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 3524,Database Management and Design #,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 4474,Global Operations and Information Technology #,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Degree Core Requirements,BIT 4484,Project Management #,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,College Requirements,ACIS 2115,Principles of Accounting 1,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,College Requirements,ACIS 2116,Principles of Accounting 1,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,College Requirements,BUS 1004,Foundations of Business Problem-Solving,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,College Requirements,BUS 1204,AI Literacy for Business,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,College Requirements,BUS 2004,Intermediate Applications of Business Problem-Solving,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3004,Advanced Applications of Business Problem-Solving,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3754,Internship in Business,1,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3900,Bridge Experience,0,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,College Requirements,BUS 4004,Capstone in Business Problem-Solving,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,College Requirements,FIN 3104,Introduction to Finance 1,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,College Requirements,MGT 3404,Principles of Management 1,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,College Requirements,MKTG 3104,Marketing Management 1,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Major Requirements,BIT 2104,Careers in Business Information Technology,1,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Major Requirements,BIT 3424,Introduction to Business Analytics Modeling #,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Major Requirements,BIT 4604,"Data Governance, Privacy and Ethics #",3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Major Requirements,CS 1064,Introduction to Programming in Python #,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Option Required Courses,BIT 3454,Business Process Improvement #,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Option Required Courses,BIT 3464,Enterprise Planning and Control Systems #,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Option Required Courses,BIT 4424,Business Information Visualization and Analytics #,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Option Required Courses,BIT 4434,Computer Simulation in Business #,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Option Required Courses,BIT 4464,Advanced Supply Chain Management #,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,COMM 1015,Communication Skills (1F),3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,COMM 1016,Communication Skills (1F),3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2005,Principles of Economics 1,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2006,Principles of Economics 1,3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1025,Elementary Calculus (5F),3,
Business Information Technology Major with Operations and Supply Chain Management Option,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,BIT 2406,"Introduction to Business Statistics, Analytics, and Modeling (5A) 1",3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Degree Core Requirements,ACIS 2115,"Principles of Accounting 1,#",3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Degree Core Requirements,ACIS 2116,"Principles of Accounting 1,#",3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3054,Legal and Ethical Environment of Business #,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3104,"Introduction to Finance 1,#",3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3134,"Financial Analytics 2,#",3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3144,"Investments: Debt, Equity and Derivatives 2,#",3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3154,"Corporate Financial Analytics and Strategy 2,#",3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,College Requirements,BUS 1004,Foundations of Business Problem-Solving,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,College Requirements,BUS 1204,AI Literacy for Business,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,College Requirements,BUS 2004,Intermediate Applications of Business Problem-Solving,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3004,Advanced Applications of Business Problem-Solving,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3754,Internship in Business,1,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3900,Bridge Experience,0,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,College Requirements,BUS 4004,Capstone in Business Problem-Solving,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,College Requirements,MGT 3404,Principles of Management 1,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,College Requirements,MKTG 3104,Marketing Management 1,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Major Requirements,BIT 2405,"Introduction to Business Statistics, Analytics, and Modeling #",3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Major Requirements,BIT 3414,Operations and Supply Chain Management #,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Major Requirements,FIN 2164,Survey of Finance and Career Planning,1,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Major Requirements,FIN 4144,International Financial Management #,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Major Requirements,FIN 4214,Financial Modeling in Excel #,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Major Requirements,FIN 4234,Venture Capital and Investment Banking #,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Option Required Courses,ACIS 3115,Intermediate Financial Accounting #,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Option Required Courses,FIN 3114,Python/SQL for Data Analytics and Finance #,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Option Required Courses,FIN 3254,Credit Risk Analysis #,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Option Required Courses,FIN 4244,Asset Valuation and Corporate Governance #,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Option Required Courses,FIN 4264,Managing Risk with Derivatives #,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,COMM 1015,Communication Skills (1F),3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,COMM 1016,Communication Skills (1F),3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2005,Principles of Economics 1,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2006,Principles of Economics 1,3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1025,Elementary Calculus (5F),3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1026,Elementary Calculus (5F),3,
Finance Major with Corporate Financial Management Option,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,BIT 2406,"Introduction to Business Statistics, Analytics, and Modeling (5A) 1",3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Degree Core Requirements,ACIS 2115,"Principles of Accounting 1,#",3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Degree Core Requirements,ACIS 2116,"Principles of Accounting 1,#",3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3054,Legal and Ethical Environment of Business #,3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3104,"Introduction to Finance 1,#",3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3134,"Financial Analytics 2,#",3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3144,"Investments: Debt, Equity and Derivatives 2,#",3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3154,"Corporate Financial Analytics and Strategy 2,#",3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,College Requirements,BUS 1004,Foundations of Business Problem-Solving,3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,College Requirements,BUS 1204,AI Literacy for Business,3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,College Requirements,BUS 2004,Intermediate Applications of Business Problem-Solving,3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3004,Advanced Applications of Business Problem-Solving,3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3754,Internship in Business,1,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3900,Bridge Experience,0,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,College Requirements,BUS 4004,Capstone in Business Problem-Solving,3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,College Requirements,MGT 3404,Principles of Management 1,3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,College Requirements,MKTG 3104,Marketing Management 1,3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Major Requirements,BIT 2405,"Introduction to Business Statistics, Analytics, and Modeling #",3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Major Requirements,BIT 3414,Operations and Supply Chain Management #,3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Major Requirements,FIN 2164,Survey of Finance and Career Planning,1,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Major Requirements,FIN 4144,International Financial Management #,3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Major Requirements,FIN 4214,Financial Modeling in Excel #,3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Major Requirements,FIN 4234,Venture Capital and Investment Banking #,3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Option Required Courses,ACIS 3115,Intermediate Financial Accounting #,3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,COMM 1015,Communication Skills (1F),3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,COMM 1016,Communication Skills (1F),3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2005,Principles of Economics 1,3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2006,Principles of Economics 1,3,
